Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
14,Alex,br BRA,ZG,Santos,23,1999,6,5,455,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.6,3,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
15,Caio Alexandre,br BRA,LT,Fortaleza,23,1999,34,32,2.624,29.2,2,2,4,2,0,0,4,0,2.0,2.0,2.8,4.8,91,208,37,0.07,0.07,0.14,0.07,0.14,0.07,0.10,0.17,0.07,0.17
16,Matheus Alexandre,br BRA,ZG,Cuiabá,23,1999,35,33,2.980,33.1,1,0,1,1,0,0,5,0,0.8,0.8,1.2,1.9,41,109,97,0.03,0.00,0.03,0.03,0.03,0.02,0.03,0.06,0.02,0.06
17,Alexsander,br BRA,LT.ZG,Fluminense,19,2003,19,13,1.194,13.3,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7,38,53,53,0.00,0.08,0.08,0.00,0.08,0.02,0.11,0.13,0.02,0.13
18,Alison,br BRA,LT,Santos,29,1993,5,2,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Alisson,br BRA,LT.ZG,Atlético Mineiro,17,2005,5,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,3,10,0.00,0.00,0.00,0.00,0.00,0.03,0.33,0.35,0.03,0.35
20,Alisson,br BRA,LT.AT,São Paulo,29,1993,35,26,2.153,23.9,0,5,5,0,0,0,2,0,1.1,1.1,2.7,3.8,40,144,105,0.00,0.21,0.21,0.00,0.21,0.05,0.11,0.16,0.05,0.16
21,Allan,br BRA,LT,Flamengo,25,1997,9,4,482,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,36,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05
22,Allano,br BRA,AT,Goiás,27,1995,19,15,1.237,13.7,1,0,1,1,0,0,5,0,2.1,2.1,0.8,2.9,39,55,90,0.07,0.00,0.07,0.07,0.07,0.15,0.06,0.21,0.15,0.21
23,Henrique Almeida,br BRA,AT,América (MG),31,1991,4,2,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,1,3,5,0.00,0.00,0.00,0.00,0.00,0.22,0.20,0.42,0.22,0.42
24,Rodrigo Alves,br BRA,LT,Vasco da Gama,20,2002,8,4,352,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
25,Anderson,br BRA,G,Cruzeiro,24,1998,1,1,90,1.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Anderson,br BRA,AT.LT,Goiás,24,1998,20,18,1.291,14.3,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,44,39,106,0.00,0.14,0.14,0.00,0.14,0.05,0.09,0.14,0.05,0.14
27,André,br BRA,ZG,Bahia,19,2003,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
28,André,br BRA,LT.ZG,Fluminense,21,2001,31,29,2.649,29.4,0,0,0,0,0,0,11,1,0.4,0.4,0.6,0.9,58,184,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
29,Maurício Antônio,br BRA,ZG,Coritiba,30,1992,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
30,Apodi,br BRA,AT.LT,Goiás,36,1986,13,2,382,4.2,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,4,16,0.24,0.00,0.24,0.24,0.24,0.20,0.06,0.25,0.20,0.25
31,Guilherme Arana,br BRA,ZG,Atlético Mineiro,25,1997,28,27,2.385,26.5,2,0,2,2,0,0,2,1,1.0,1.0,1.1,2.1,56,133,122,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08
32,Charles Aránguiz,cl CHI,LT,Internacional,33,1989,22,16,1.267,14.1,0,1,1,0,0,0,3,0,1.0,1.0,1.3,2.2,6,89,28,0.00,0.07,0.07,0.00,0.07,0.07,0.09,0.16,0.07,0.16
33,João Araújo,br BRA,LT,Grêmio,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Luiz Araújo,br BRA,AT.LT,Flamengo,26,1996,20,10,785,8.7,3,1,4,3,0,0,2,1,1.6,1.6,0.7,2.2,29,44,112,0.34,0.11,0.46,0.34,0.46,0.18,0.08,0.26,0.18,0.26
35,Matheus Araújo,br BRA,LT.AT,Corinthians,20,2002,16,3,584,6.5,1,2,3,1,0,0,0,0,1.2,1.2,0.8,2.0,18,30,43,0.15,0.31,0.46,0.15,0.46,0.19,0.13,0.32,0.19,0.32
36,Michel Araujo,uy URU,AT.LT,São Paulo,26,1996,32,19,1.768,19.6,2,1,3,2,0,0,3,0,4.8,4.8,2.4,7.2,71,91,157,0.10,0.05,0.15,0.10,0.15,0.24,0.12,0.37,0.24,0.37
37,Robert Arboleda,ec ECU,ZG,São Paulo,31,1991,20,19,1.721,19.1,0,0,0,0,0,0,1,1,0.9,0.9,0.3,1.2,2,42,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
38,Jhon Arias,co COL,AT.LT,Fluminense,25,1997,29,26,2.385,26.5,7,7,14,5,2,2,5,1,5.8,4.2,4.7,8.9,142,108,300,0.26,0.26,0.53,0.19,0.45,0.22,0.18,0.40,0.16,0.34
39,Luciano Arriagada,cl CHI,AT.LT,Ath Paranaense,20,2002,10,1,190,2.1,0,0,0,0,0,0,0,0,0.9,0.9,0.6,1.5,5,2,12,0.00,0.00,0.00,0.00,0.00,0.42,0.27,0.69,0.42,0.69
40,Arthur,br BRA,AT.LT,Cruzeiro,24,1998,20,17,1.350,15.0,3,1,4,3,0,0,3,0,3.6,3.6,1.3,4.9,66,38,112,0.20,0.07,0.27,0.20,0.27,0.24,0.09,0.33,0.24,0.33
41,Arthur,br BRA,ZG,América (MG),19,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
