Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
450,Bruno Méndez,uy URU,ZG,Corinthians,23,1999,27,20,1.650,18.3,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.05,0.01,0.01,0.01,0.00,0.87,3.39,1.26,000,000,000,000,000,001,001,002,001,002
451,Jhegson Méndez,ec ECU,LT,São Paulo,25,1997,7,4,371,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.02,0.00,0.73,3.66,0.73,000,000,000,000,000,001,002,003,001,003
452,Óscar Méndez,uy URU,LT,América (MG),28,1994,7,2,260,2.9,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.69,2.07,0.00,000,000,000,000,000,000,000,000,000,000
453,Stiven Mendoza,co COL,"AT,LT",Santos,30,1992,26,19,1.672,18.6,0.32,0.11,0.43,0.22,0.11,0.11,0.22,0.00,0.27,0.18,0.09,0.27,4.25,3.92,8.49,032,011,043,022,032,027,009,036,018,028
454,Gabriel Menino,br BRA,LT,Palmeiras,22,2000,24,21,1.593,17.7,0.11,0.17,0.28,0.11,0.00,0.00,0.28,0.00,0.10,0.10,0.07,0.17,2.49,7.74,3.05,011,017,028,011,028,009,008,017,009,017
455,Gabriel Mercado,ar ARG,ZG,Internacional,35,1987,26,25,2.180,24.2,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.04,0.02,0.02,0.01,0.00,0.04,1.61,0.08,000,000,000,000,000,002,001,003,002,003
456,Higor Meritão,br BRA,LT,Goiás,28,1994,8,2,223,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.40,3.20,0.40,000,000,000,000,000,016,000,016,016,016
457,Messias,br BRA,ZG,Santos,28,1994,28,26,2.393,26.6,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.06,0.06,0.00,0.04,0.04,1.17,0.15,008,000,008,008,008,006,000,006,006,006
458,Bruno Mezenga,br BRA,"AT,LT",Santos,34,1988,9,0,168,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.16,0.16,0.00,0.00,1.05,2.63,3.68,000,000,000,000,000,018,000,018,018,018
459,Carlos Miguel,br BRA,G,Corinthians,24,1998,2,1,110,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
460,Fernando Miguel,br BRA,G,Fortaleza,37,1985,6,5,462,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
461,Mikael,br BRA,AT,América (MG),23,1999,5,1,153,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.12,0.59,4.12,0.59,5.29,000,000,000,000,000,047,012,060,047,060
462,Lucas Milla,br BRA,LT,Grêmio,20,2003,8,4,303,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.09,0.09,0.00,0.00,1.47,4.41,2.06,000,000,000,000,000,008,001,009,008,009
463,Mina,br BRA,ZG,Goiás,19,2003,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,039,000,039,039,039
464,Lucas Mineiro,br BRA,LT,Cuiabá,26,1996,16,7,612,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.03,0.03,0.06,0.00,0.74,3.24,3.68,000,000,000,000,000,002,006,008,002,008
465,Vinicius Mingotti,br BRA,AT,Bahia,23,2000,17,8,659,7.3,0.27,0.00,0.27,0.27,0.00,0.00,0.27,0.00,0.26,0.26,0.08,0.27,0.27,0.68,3.42,027,000,027,027,027,026,009,034,026,034
466,Miranda,br BRA,ZG,Vasco da Gama,23,2000,7,4,388,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.07,0.00,0.47,4.42,0.47,000,000,000,000,000,005,007,012,005,012
467,Moises,br BRA,"LT,AT",Fortaleza,26,1996,6,5,367,4.1,0.73,0.00,0.73,0.73,0.00,0.00,0.24,0.00,0.61,0.61,0.17,0.73,4.63,2.20,11.2,074,000,074,074,074,061,018,079,061,079
468,Rodrigo Moledo,br BRA,ZG,Internacional,35,1987,7,5,478,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.02,0.00,1.13,1.70,0.00,000,000,000,000,000,001,001,002,001,002
469,Rafael Monteiro,br BRA,LT,Fluminense,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,1,000,000,000,000,000,000,000,000,000,000
