Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Angers SCO,28,0,2,26,22,57,-35,2,20
Paris Saint-Germain,29,25,4,0,94,23,71,79,1
Olympique Marseille,29,23,6,0,65,22,43,75,2
Lens,29,18,11,0,46,31,15,65,3
Rennes,29,18,10,1,53,38,15,64,4
Monaco,29,17,10,2,59,37,22,61,5
Lille,29,16,11,2,47,30,17,59,6
Olympique Lyonnais,29,11,15,3,40,25,15,48,7
Nice,29,10,17,2,31,25,6,47,8
Toulouse,29,9,9,11,33,53,-20,36,9
Lorient,29,8,12,9,31,42,-11,36,10
Stade de Reims,29,6,14,9,31,34,-3,32,11
Nantes,29,4,16,9,27,33,-6,28,12
Clermont,29,4,15,10,37,37,0,27,13
Troyes,29,5,9,15,37,69,-32,24,14
RC Strasbourg,29,4,11,14,44,56,-12,23,15
Montpellier,29,4,9,16,42,61,-19,21,16
Brest,29,3,12,14,33,47,-14,21,17
Auxerre,29,0,4,25,24,60,-36,4,18
AC Ajaccio,29,0,4,25,19,72,-53,4,19
Angers SCO,29,0,2,27,23,58,-35,2,20
Paris Saint-Germain,30,26,4,0,96,23,73,82,1
Olympique Marseille,30,23,7,0,67,25,42,76,2
Lens,30,18,12,0,47,32,15,66,3
Rennes,30,18,11,1,55,39,16,65,4
Monaco,30,18,10,2,66,37,29,64,5
Lille,30,16,12,2,47,30,17,60,6
Olympique Lyonnais,30,11,16,3,41,25,16,49,7
Nice,30,10,17,3,31,26,5,47,8
Lorient,30,8,13,9,31,43,-12,37,9
Toulouse,30,9,9,12,38,56,-18,36,10
Stade de Reims,30,7,14,9,31,35,-4,35,11
Nantes,30,4,16,10,27,35,-8,28,12
Troyes,30,6,9,15,37,73,-36,27,13
Clermont,30,4,15,11,38,38,0,27,14
RC Strasbourg,30,4,11,15,44,58,-14,23,15
Montpellier,30,4,9,17,43,66,-23,21,16
Brest,30,3,12,15,34,49,-15,21,17
Auxerre,30,0,4,26,24,60,-36,4,18
AC Ajaccio,30,0,4,26,20,75,-55,4,19
Angers SCO,30,0,2,28,23,59,-36,2,20
Paris Saint-Germain,31,27,4,0,99,23,76,85,1
Olympique Marseille,31,23,8,0,68,26,42,77,2
Lens,31,18,13,0,47,35,12,67,3
Rennes,31,18,11,2,57,40,17,65,4
Monaco,31,18,10,3,67,40,27,64,5
Lille,31,16,12,3,47,31,16,60,6
Nice,31,11,17,3,33,26,7,50,7
Olympique Lyonnais,31,11,16,4,42,28,14,49,8
Stade de Reims,31,8,14,9,31,35,-4,38,9
Lorient,31,8,13,10,33,44,-11,37,10
Toulouse,31,9,9,13,40,61,-21,36,11
Troyes,31,6,10,15,37,76,-39,28,12
Nantes,31,4,16,11,27,38,-11,28,13
Clermont,31,4,15,12,38,43,-5,27,14
RC Strasbourg,31,4,11,16,44,63,-19,23,15
Montpellier,31,4,9,18,45,68,-23,21,16
Brest,31,3,12,16,35,52,-17,21,17
AC Ajaccio,31,0,5,26,21,76,-55,5,18
Auxerre,31,0,4,27,24,62,-38,4,19
Angers SCO,31,0,2,29,23,66,-43,2,20
Paris Saint-Germain,32,28,4,0,103,23,80,88,1
Olympique Marseille,32,24,8,0,69,26,43,80,2
Lens,32,19,13,0,48,35,13,70,3
Rennes,32,19,11,2,58,40,18,68,4
Monaco,32,19,10,3,73,41,32,67,5
Lille,32,17,12,3,50,31,19,63,6
Nice,32,12,17,3,36,28,8,53,7
Olympique Lyonnais,32,12,16,4,46,32,14,52,8
Stade de Reims,32,9,14,9,35,37,-2,41,9
Toulouse,32,10,9,13,43,62,-19,39,10
Lorient,32,8,13,11,34,46,-12,37,11
Nantes,32,5,16,11,28,39,-11,31,12
Clermont,32,5,15,12,40,43,-3,30,13
Troyes,32,6,10,16,39,77,-38,28,14
Montpellier,32,5,9,18,46,68,-22,24,15
Brest,32,4,12,16,38,52,-14,24,16
RC Strasbourg,32,4,12,16,46,64,-18,24,17
AC Ajaccio,32,0,5,27,22,79,-57,5,18
Auxerre,32,0,4,28,26,62,-36,4,19
Angers SCO,32,0,3,29,23,67,-44,3,20
Paris Saint-Germain,33,29,4,0,106,23,83,91,1
Olympique Marseille,33,25,8,0,70,26,44,83,2
Lens,33,20,13,0,53,35,18,73,3
Rennes,33,20,11,2,58,42,16,71,4
Monaco,33,20,10,3,75,44,31,70,5
Lille,33,18,12,3,53,31,22,66,6
Nice,33,13,17,3,37,28,9,56,7
Olympique Lyonnais,33,13,16,4,48,32,16,55,8
Toulouse,33,11,9,13,47,63,-16,42,9
Stade de Reims,33,9,15,9,36,37,-1,42,10
Lorient,33,9,13,11,35,47,-12,40,11
Nantes,33,6,16,11,30,39,-9,34,12
Clermont,33,6,15,12,41,46,-5,33,13
Troyes,33,6,11,16,42,78,-36,29,14
Montpellier,33,6,9,18,47,70,-23,27,15
Brest,33,5,12,16,41,53,-12,27,16
RC Strasbourg,33,5,12,16,47,65,-18,27,17
AC Ajaccio,33,0,6,27,24,79,-55,6,18
Auxerre,33,0,4,29,26,63,-37,4,19
Angers SCO,33,0,4,29,24,67,-43,4,20
Paris Saint-Germain,34,30,4,0,112,24,88,94,1
Olympique Marseille,34,26,8,0,73,28,45,86,2
Lens,34,21,13,0,54,37,17,76,3
Rennes,34,21,11,2,63,42,21,74,4
Monaco,34,21,10,3,79,44,35,73,5
Lille,34,19,12,3,60,32,28,69,6
Olympique Lyonnais,34,14,16,4,49,34,15,58,7
Nice,34,13,18,3,37,29,8,57,8
Toulouse,34,11,10,13,47,67,-20,43,9
Lorient,34,10,13,11,36,48,-12,43,10
Stade de Reims,34,9,16,9,37,39,-2,43,11
Nantes,34,6,17,11,30,41,-11,35,12
Clermont,34,6,16,12,44,46,-2,34,13
Troyes,34,6,11,17,42,79,-37,29,14
Montpellier,34,6,10,18,47,73,-26,28,15
Brest,34,5,13,16,44,54,-10,28,16
RC Strasbourg,34,5,13,16,48,66,-18,28,17
AC Ajaccio,34,0,6,28,24,80,-56,6,18
Auxerre,34,0,4,30,30,63,-33,4,19
Angers SCO,34,0,4,30,24,69,-45,4,20
Paris Saint-Germain,35,31,4,0,112,25,87,97,1
Olympique Marseille,35,27,8,0,76,28,48,89,2
Lens,35,22,13,0,55,37,18,79,3
Monaco,35,22,10,3,80,46,34,76,4
Rennes,35,21,12,2,65,42,23,75,5
Lille,35,19,13,3,62,33,29,70,6
Nice,35,14,18,3,37,30,7,60,7
Olympique Lyonnais,35,14,17,4,49,35,14,59,8
Lorient,35,11,13,11,37,49,-12,46,9
Toulouse,35,11,11,13,49,68,-19,44,10
Stade de Reims,35,9,17,9,38,41,-3,44,11
Nantes,35,6,18,11,31,42,-11,36,12
Clermont,35,6,17,12,44,46,-2,35,13
Troyes,35,6,11,18,44,83,-39,29,14
Brest,35,5,14,16,45,56,-11,29,15
Montpellier,35,6,10,19,48,74,-26,28,16
RC Strasbourg,35,5,13,17,49,67,-18,28,17
AC Ajaccio,35,0,6,29,25,80,-55,6,18
Auxerre,35,0,4,31,30,63,-33,4,19
Angers SCO,35,0,4,31,25,71,-46,4,20
Paris Saint-Germain,36,32,4,0,113,25,88,100,1
Olympique Marseille,36,27,9,0,78,28,50,90,2
Lens,36,22,14,0,56,37,19,80,3
Monaco,36,22,11,3,81,46,35,77,4
Rennes,36,21,13,2,67,42,25,76,5
Lille,36,19,14,3,63,34,29,71,6
Nice,36,14,19,3,39,30,9,61,7
Olympique Lyonnais,36,14,18,4,49,38,11,60,8
Lorient,36,11,14,11,38,51,-13,47,9
Stade de Reims,36,9,18,9,39,41,-2,45,10
Toulouse,36,11,11,14,50,69,-19,44,11
Nantes,36,6,19,11,31,43,-12,37,12
Clermont,36,6,18,12,44,47,-3,36,13
Troyes,36,6,11,19,44,84,-40,29,14
Brest,36,5,14,17,47,59,-12,29,15
Montpellier,36,6,10,20,48,75,-27,28,16
RC Strasbourg,36,5,13,18,50,67,-17,28,17
AC Ajaccio,36,0,6,30,25,82,-57,6,18
Auxerre,36,0,4,32,32,66,-34,4,19
Angers SCO,36,0,4,32,26,72,-46,4,20
Paris Saint-Germain,37,33,4,0,116,26,90,103,1
Olympique Marseille,37,28,9,0,81,29,52,93,2
Lens,37,23,14,0,57,37,20,83,3
Monaco,37,23,11,3,83,47,36,80,4
Rennes,37,22,13,2,69,42,27,79,5
Lille,37,20,14,3,65,35,30,74,6
Nice,37,15,19,3,42,32,10,64,7
Olympique Lyonnais,37,15,18,4,51,39,12,63,8
Lorient,37,11,15,11,39,53,-14,48,9
Stade de Reims,37,9,19,9,41,42,-1,46,10
Toulouse,37,11,12,14,53,69,-16,45,11
Nantes,37,6,20,11,33,43,-10,38,12
Clermont,37,6,19,12,45,50,-5,37,13
Troyes,37,6,12,19,45,87,-42,30,14
Brest,37,5,15,17,48,60,-12,30,15
Montpellier,37,6,11,20,49,79,-30,29,16
RC Strasbourg,37,5,14,18,52,68,-16,29,17
AC Ajaccio,37,0,6,31,25,85,-60,6,18
Auxerre,37,0,4,33,33,69,-36,4,19
Angers SCO,37,0,4,33,27,73,-46,4,20
Paris Saint-Germain,38,34,4,0,118,27,91,106,1
Olympique Marseille,38,29,9,0,81,30,51,96,2
Lens,38,24,14,0,58,37,21,86,3
Monaco,38,24,11,3,84,49,35,83,4
Rennes,38,23,13,2,73,46,27,82,5
Lille,38,20,15,3,68,35,33,75,6
Nice,38,15,20,3,44,33,11,65,7
Olympique Lyonnais,38,15,19,4,52,39,13,64,8
Lorient,38,12,15,11,45,54,-9,51,9
Stade de Reims,38,9,20,9,43,43,0,47,10
Toulouse,38,11,13,14,55,69,-14,46,11
Nantes,38,6,21,11,34,43,-9,39,12
Clermont,38,6,20,12,47,50,-3,38,13
Troyes,38,6,12,20,46,88,-42,30,14
Brest,38,5,15,18,49,66,-17,30,15
Montpellier,38,6,11,21,50,80,-30,29,16
RC Strasbourg,38,5,14,19,54,68,-14,29,17
AC Ajaccio,38,0,6,32,26,86,-60,6,18
Auxerre,38,0,4,34,34,70,-36,4,19
Angers SCO,38,0,4,34,27,75,-48,4,20
