Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Havre AC,29,27,2,0,50,15,35,83,1
Bordeaux,29,21,7,1,38,21,17,70,2
Sochaux,29,20,8,1,52,27,25,68,3
FC Metz,29,16,10,3,46,33,13,58,4
Grenoble,29,7,20,2,35,28,7,41,5
US Quevilly,29,8,16,5,39,35,4,40,6
Amiens SC,29,6,19,4,25,39,-14,37,7
Annecy,29,5,20,4,40,32,8,35,8
Caen,29,4,21,4,33,31,2,33,9
SC Bastia,29,2,20,7,34,35,-1,26,10
St Etienne,29,3,16,10,41,34,7,25,11
Guingamp,29,2,18,9,40,40,0,24,12
Valenciennes,29,1,21,7,23,32,-9,24,13
Paris FC,29,1,21,7,20,34,-14,24,14
Dijon,29,1,19,9,31,35,-4,22,15
Laval,29,2,15,12,38,49,-11,21,16
FC Pau,29,0,20,9,22,36,-14,20,17
Rodez AF,29,0,16,13,27,51,-24,16,18
Nimes Olympique,29,0,16,13,19,46,-27,16,19
Chamois Niortais,29,0,11,18,28,62,-34,11,20
Havre AC,30,28,2,0,51,15,36,86,1
Bordeaux,30,22,7,1,42,22,20,73,2
Sochaux,30,21,8,1,54,29,25,71,3
FC Metz,30,17,10,3,47,33,14,61,4
US Quevilly,30,9,16,5,42,36,6,43,5
Grenoble,30,7,21,2,36,28,8,42,6
Amiens SC,30,7,19,4,27,39,-12,40,7
Annecy,30,6,20,4,43,33,10,38,8
Caen,30,5,21,4,33,34,-1,36,9
SC Bastia,30,2,21,7,36,36,0,27,10
St Etienne,30,3,17,10,42,34,8,26,11
Guingamp,30,2,19,9,42,40,2,25,12
Valenciennes,30,1,22,7,24,33,-9,25,13
Paris FC,30,1,22,7,22,35,-13,25,14
Dijon,30,1,20,9,34,36,-2,23,15
Laval,30,2,16,12,38,51,-13,22,16
FC Pau,30,0,21,9,24,39,-15,21,17
Rodez AF,30,0,17,13,28,52,-24,17,18
Nimes Olympique,30,0,17,13,21,47,-26,17,19
Chamois Niortais,30,0,11,19,29,62,-33,11,20
Havre AC,31,29,2,0,52,15,37,89,1
Bordeaux,31,23,7,1,43,22,21,76,2
Sochaux,31,22,8,1,55,30,25,74,3
FC Metz,31,17,11,3,49,33,16,62,4
US Quevilly,31,9,17,5,43,37,6,44,5
Grenoble,31,7,22,2,38,29,9,43,6
Amiens SC,31,7,20,4,28,41,-13,41,7
Annecy,31,6,21,4,43,33,10,39,8
Caen,31,6,21,4,34,34,0,39,9
SC Bastia,31,2,22,7,39,36,3,28,10
St Etienne,31,3,18,10,43,34,9,27,11
Guingamp,31,2,20,9,45,41,4,26,12
Valenciennes,31,1,23,7,25,34,-9,26,13
Paris FC,31,1,23,7,24,35,-11,26,14
Dijon,31,1,21,9,35,37,-2,24,15
Laval,31,2,17,12,39,53,-14,23,16
FC Pau,31,0,22,9,26,40,-14,22,17
Rodez AF,31,0,18,13,28,52,-24,18,18
Nimes Olympique,31,0,18,13,22,49,-27,18,19
Chamois Niortais,31,0,11,20,29,64,-35,11,20
Havre AC,32,30,2,0,54,16,38,92,1
Bordeaux,32,24,7,1,43,22,21,79,2
Sochaux,32,23,8,1,57,30,27,77,3
FC Metz,32,18,11,3,51,33,18,65,4
Grenoble,32,8,22,2,41,31,10,46,5
US Quevilly,32,9,18,5,44,37,7,45,6
Amiens SC,32,7,21,4,28,41,-13,42,7
Annecy,32,6,22,4,43,33,10,40,8
Caen,32,6,22,4,35,35,0,40,9
SC Bastia,32,2,23,7,40,36,4,29,10
St Etienne,32,3,19,10,44,35,9,28,11
Guingamp,32,2,21,9,45,43,2,27,12
Valenciennes,32,1,24,7,25,34,-9,27,13
Paris FC,32,1,24,7,25,35,-10,27,14
Dijon,32,1,22,9,36,38,-2,25,15
Laval,32,2,18,12,39,57,-18,24,16
FC Pau,32,0,23,9,26,42,-16,23,17
Nimes Olympique,32,0,19,13,25,49,-24,19,18
Rodez AF,32,0,19,13,29,54,-25,19,19
Chamois Niortais,32,0,12,20,30,64,-34,12,20
Havre AC,33,31,2,0,54,17,37,95,1
Bordeaux,33,25,7,1,43,23,20,82,2
Sochaux,33,24,8,1,59,30,29,80,3
FC Metz,33,18,12,3,51,34,17,66,4
Grenoble,33,9,22,2,43,31,12,49,5
US Quevilly,33,9,19,5,45,40,5,46,6
Amiens SC,33,8,21,4,29,41,-12,45,7
Caen,33,7,22,4,36,35,1,43,8
Annecy,33,6,23,4,44,35,9,41,9
SC Bastia,33,2,24,7,40,37,3,30,10
St Etienne,33,3,20,10,46,36,10,29,11
Guingamp,33,2,22,9,45,44,1,28,12
Valenciennes,33,1,25,7,26,35,-9,28,13
Paris FC,33,1,25,7,25,36,-11,28,14
Dijon,33,1,23,9,37,38,-1,26,15
Laval,33,2,19,12,39,57,-18,25,16
FC Pau,33,0,24,9,27,45,-18,24,17
Nimes Olympique,33,0,20,13,26,50,-24,20,18
Rodez AF,33,0,20,13,30,56,-26,20,19
Chamois Niortais,33,0,12,21,32,64,-32,12,20
Havre AC,34,32,2,0,55,18,37,98,1
Bordeaux,34,25,8,1,43,23,20,83,2
Sochaux,34,24,9,1,61,30,31,81,3
FC Metz,34,18,13,3,52,37,15,67,4
Grenoble,34,9,23,2,43,32,11,50,5
Amiens SC,34,9,21,4,33,41,-8,48,6
US Quevilly,34,9,20,5,46,42,4,47,7
Caen,34,7,23,4,38,36,2,44,8
Annecy,34,6,24,4,44,37,7,42,9
SC Bastia,34,2,25,7,41,37,4,31,10
St Etienne,34,3,20,11,49,40,9,29,11
Paris FC,34,1,26,7,27,37,-10,29,12
Valenciennes,34,1,26,7,26,36,-10,29,13
Guingamp,34,2,22,10,46,45,1,28,14
Laval,34,2,20,12,41,57,-16,26,15
Dijon,34,1,23,10,37,39,-2,26,16
FC Pau,34,0,24,10,27,47,-20,24,17
Rodez AF,34,0,21,13,30,56,-26,21,18
Nimes Olympique,34,0,20,14,26,52,-26,20,19
Chamois Niortais,34,0,12,22,32,67,-35,12,20
Havre AC,35,33,2,0,56,18,38,101,1
Bordeaux,35,25,9,1,44,23,21,84,2
Sochaux,35,24,10,1,64,32,32,82,3
FC Metz,35,18,14,3,53,39,14,68,4
Grenoble,35,9,24,2,43,32,11,51,5
Amiens SC,35,9,22,4,34,41,-7,49,6
US Quevilly,35,9,21,5,48,44,4,48,7
Caen,35,7,24,4,38,36,2,45,8
Annecy,35,6,25,4,45,37,8,43,9
SC Bastia,35,2,26,7,42,37,5,32,10
Valenciennes,35,1,27,7,28,37,-9,30,11
Paris FC,35,1,27,7,27,38,-11,30,12
St Etienne,35,3,20,12,52,40,12,29,13
Guingamp,35,2,22,11,49,45,4,28,14
Laval,35,2,21,12,42,58,-16,27,15
Dijon,35,1,23,11,37,40,-3,26,16
FC Pau,35,0,24,11,27,49,-22,24,17
Rodez AF,35,0,22,13,30,57,-27,22,18
Nimes Olympique,35,0,20,15,26,54,-28,20,19
Chamois Niortais,35,0,12,23,32,70,-38,12,20
Havre AC,36,34,2,0,58,18,40,104,1
Bordeaux,36,26,9,1,44,24,20,87,2
Sochaux,36,25,10,1,66,35,31,85,3
FC Metz,36,19,14,3,55,39,16,71,4
Grenoble,36,9,25,2,43,32,11,52,5
Amiens SC,36,9,23,4,34,43,-9,50,6
US Quevilly,36,9,22,5,50,46,4,49,7
Caen,36,7,25,4,38,37,1,46,8
Annecy,36,6,26,4,46,37,9,44,9
SC Bastia,36,2,27,7,43,38,5,33,10
Valenciennes,36,1,28,7,32,37,-5,31,11
Paris FC,36,1,28,7,29,38,-9,31,12
St Etienne,36,3,21,12,54,42,12,30,13
Guingamp,36,2,23,11,50,46,4,29,14
Laval,36,2,22,12,42,59,-17,28,15
Dijon,36,1,24,11,39,40,-1,27,16
FC Pau,36,0,25,11,29,50,-21,25,17
Rodez AF,36,0,23,13,30,58,-28,23,18
Nimes Olympique,36,0,20,16,28,56,-28,20,19
Chamois Niortais,36,0,12,24,32,72,-40,12,20
Havre AC,37,35,2,0,59,19,40,107,1
Bordeaux,37,27,9,1,46,24,22,90,2
Sochaux,37,26,10,1,69,36,33,88,3
FC Metz,37,20,14,3,57,39,18,74,4
Grenoble,37,9,26,2,43,32,11,53,5
Amiens SC,37,9,24,4,35,43,-8,51,6
US Quevilly,37,9,23,5,51,46,5,50,7
Caen,37,8,25,4,39,38,1,49,8
Annecy,37,6,27,4,47,39,8,45,9
SC Bastia,37,2,28,7,46,40,6,34,10
Valenciennes,37,1,29,7,34,38,-4,32,11
Paris FC,37,1,29,7,29,38,-9,32,12
St Etienne,37,3,22,12,54,43,11,31,13
Guingamp,37,2,24,11,50,47,3,30,14
Laval,37,2,23,12,43,59,-16,29,15
Dijon,37,1,25,11,40,40,0,28,16
FC Pau,37,0,26,11,31,51,-20,26,17
Rodez AF,37,0,24,13,31,59,-28,24,18
Nimes Olympique,37,0,21,16,29,58,-29,21,19
Chamois Niortais,37,0,13,24,33,73,-40,13,20
Havre AC,38,36,2,0,60,20,40,110,1
Bordeaux,38,27,10,1,47,25,22,91,2
Sochaux,38,26,11,1,69,36,33,89,3
FC Metz,38,20,15,3,58,42,16,75,4
Grenoble,38,9,27,2,43,32,11,54,5
Caen,38,9,25,4,41,38,3,52,6
Amiens SC,38,9,25,4,36,43,-7,52,7
US Quevilly,38,9,24,5,52,47,5,51,8
Annecy,38,6,28,4,48,39,9,46,9
SC Bastia,38,2,29,7,47,42,5,35,10
Valenciennes,38,1,30,7,35,40,-5,33,11
Paris FC,38,1,30,7,30,39,-9,33,12
St Etienne,38,3,22,13,57,43,14,31,13
Guingamp,38,2,24,12,50,47,3,30,14
Laval,38,2,23,13,44,60,-16,29,15
Dijon,38,1,25,12,40,43,-3,28,16
FC Pau,38,0,26,12,31,52,-21,26,17
Rodez AF,38,0,24,14,31,61,-30,24,18
Nimes Olympique,38,0,21,17,30,59,-29,21,19
Chamois Niortais,38,0,13,25,33,74,-41,13,20
